TDEP,Cons,CAL,GR,LLD,LLS,RHOB,NPHI,PEF,DT,PHIF  (%),PHIf
2515,1,1.172,88.4457,34.15,17.0793,2.519,0.187,5.194,63.6663,3.1657,0.0317
2515.125,1,1.201,85.8127,36.9118,19.6193,2.5915,0.192,5.026,62.7871,2.5403,0.0254
2515.25,1,1.23,89.236,39.6642,22.1637,2.664,0.197,4.858,61.908,1.9667,0.0197
2515.375,1,1.25,89.672,46.5697,27.5823,2.554,0.182,3.304,61.4267,2.7344,0.0273
2515.5,1,1.312,90.9363,55.1042,27.4957,2.502,0.204,3.346,62.3799,3.646,0.0365
2515.625,1,1.242,90.3287,61.3288,26.4752,2.571,0.175,3.429,59.207,2.4604,0.0246
2515.75,1,1.149,92.5957,64.6811,30.2332,2.577,0.1855,3.34,58.956,2.5722,0.0257
2515.875,1,1.056,92.051,68.0272,33.9965,2.583,0.196,3.251,58.705,2.6858,0.0269
2516,1,1.01,91.359,70.6522,40.6549,2.6,0.156,3.245,59.832,1.9148,0.0191
2516.125,1,0.789,87.5307,70.5512,40.3819,2.612,0.11,3.261,58.9892,1.2081,0.0121
2516.25,1,0.746,85.306,76.6191,37.0182,2.601,0.12,3.127,59.0165,1.4139,0.0141
2516.375,1,0.638,84.6463,95.4606,34.2088,2.595,0.149,3.292,60.1878,1.8562,0.0186
2516.5,1,0.5875,87.3737,110.375,34.2713,2.58,0.1635,3.257,59.8163,2.1998,0.022
2516.625,1,0.537,88.748,125.237,34.3338,2.565,0.178,3.222,59.4448,2.5644,0.0256
2516.75,1,0.545,90.7183,163.893,39.3141,2.538,0.182,2.94,58.9898,2.8902,0.0289
2516.875,1,0.46,88.6407,192.212,40.9348,2.574,0.151,2.898,58.8489,2.0645,0.0206
2517,1,0.367,89.218,142.389,38.9831,2.54,0.146,3.176,72.7253,2.2901,0.0229
2517.125,1,0.3515,87.7302,67.7325,56.7678,2.5385,0.141,3.27,64.4156,2.2268,0.0223
2517.25,1,0.336,90.0995,79.5744,74.7734,2.537,0.136,3.364,56.1059,2.164,0.0216
2517.375,1,0.328,89.4282,51.9749,31.1538,2.574,0.108,3.16,57.0564,1.4631,0.0146
2517.5,1,0.406,86.978,96.9524,122.227,2.541,0.139,3.008,58.5451,2.174,0.0217
2517.625,1,0.487,85.2123,40.2037,48.9225,2.495,0.143,2.928,60.5122,2.6606,0.0266
2517.75,1,0.452,80.6077,29.0563,28.9274,2.487,0.191,2.579,61.69,3.569,0.0357
2517.875,1,0.487,78.3237,28.6035,27.6559,2.4925,0.197,2.7345,64.504,3.6196,0.0362
2518,1,0.522,75.897,28.1502,26.3849,2.498,0.203,2.89,67.318,3.6705,0.0367
2518.125,1,0.669,78.639,24.6582,22.5749,2.494,0.214,2.819,69.2408,3.9176,0.0392
2518.25,1,0.754,82.7057,23.2498,20.6474,2.48,0.192,2.695,70.7295,3.6618,0.0366
2518.375,1,0.746,85.1553,18.2122,15.4532,2.428,0.227,2.726,74.1192,4.9246,0.0492
2518.5,1,0.746,87.3553,16.3017,13.8219,2.403,0.25,3.0245,73.0692,5.707,0.0571
2518.625,1,0.746,89.574,14.3771,12.1908,2.378,0.273,3.323,72.7198,6.527,0.0653
2518.75,1,0.731,92.345,12.4204,10.2206,2.4,0.218,3.497,72.3704,5.0749,0.0507
2518.875,1,0.677,96.3293,13.0902,10.1193,2.424,0.228,3.324,72.553,4.9925,0.0499
2519,1,0.514,96.4547,14.3631,10.629,2.453,0.201,3.308,71.6414,4.1251,0.0413
